Week.Ending,Notes_Issued,Notes_in_Circulation,,,,,,,,,,
17 Aug 2018,19171.40,19171.29,,,,,,,,,,
10 Aug 2018,19104.84,19104.73,,,,,,,,,,
3 Aug 2018,18963.11,18963.00,,,,,,,,,,
27 Jul 2018,18968.14,18968.03,,,,,,,,,,
20 Jul 2018,19109.45,19109.33,,,,,,,,,,
13 Jul 2018,19312.17,19312.05,,,,,,,,,,
6 Jul 2018,19241.21,19241.08,,,,,,,,,,
29 Jun 2018,19174.36,19174.27,,,,,,,,,,
22 Jun 2018,19316.89,19316.78,,,,,,,,,,
15 Jun 2018,19354.16,19354.06,,,,,,,,,,
8 Jun 2018,19224.99,19224.88,,,,,,,,,,
1 Jun 2018,19062.17,19062.06,,,,,,,,,,
25 May 2018,19050.69,19050.56,,,,,,,,,,
18 May 2018,19098.57,19098.45,,,,,,,,,,
11 May 2018,19069.41,19069.29,,,,,,,,,,
4 May 2018,18892.64,18892.52,,,,,,,,,,
27 Apr 2018,18779.84,18779.71,,,,,,,,,,
20 Apr 2018,18639.54,18639.42,,,,,,,,,,
13 Apr 2018,18476.10,18475.98,,,,,,,,,,
6 Apr 2018,18169.35,18169.23,,,,,,,,,,
30 Mar 2018,18044.35,18044.21,,,,,,,,,,
23 Mar 2018,18021.17,18021.03,,,,,,,,,,
16 Mar 2018,17972.90,17972.74,,,,,,,,,,
9 Mar 2018,17879.72,17879.54,,,,,,,,,,
2 Mar 2018,17644.48,17644.29,,,,,,,,,,
23 Feb 2018,17566.79,17566.61,,,,,,,,,,
16 Feb 2018,17521.21,17521.02,,,,,,,,,,
9 Feb 2018,17407.60,17407.42,,,,,,,,,,
2 Feb 2018,17139.84,17139.67,,,,,,,,,,
26 Jan 2018,17129.79,17129.62,,,,,,,,,,
19 Jan 2018,17076.80,17076.63,,,,,,,,,,
12 Jan 2018,17002.97,17002.80,,,,,,,,,,
5 Jan 2018,16793.85,16793.10,,,,,,,,,,
29 Dec 2017,16676.85,16676.69,,,,,,,,,,
22 Dec 2017,16717.84,16717.66,,,,,,,,,,
15 Dec 2017,16663.29,16663.12,,,,,,,,,,
8 Dec 2017,16570.45,16570.27,,,,,,,,,,
1 Dec 2017,16368.85,16368.68,,,,,,,,,,
24 Nov 2017,16344.68,16344.50,,,,,,,,,,
17 Nov 2017,16333.02,16332.83,,,,,,,,,,
10 Nov 2017,16281.07,16280.91,,,,,,,,,,
3 Nov 2017,16130.22,16130.06,,,,,,,,,,
27 Oct 2017,16092.10,16091.94,,,,,,,,,,
20 Oct 2017,16210.28,16210.11,,,,,,,,,,
13 Oct 2017,15928.60,15928.44,,,,,,,,,,
6 Oct 2017,15748.96,15748.78,,,,,,,,,,
